epoch,accuracy,loss,val_accuracy,val_loss
0,0.7319999933242798,0.9318340420722961,0.8637499809265137,0.3251068890094757
1,0.8569999933242798,0.40316760540008545,0.8787500262260437,0.28180232644081116
2,0.8740000128746033,0.32040512561798096,0.7712500095367432,0.730506956577301
3,0.8880000114440918,0.28138598799705505,0.8424999713897705,0.3911269009113312
4,0.9139999747276306,0.21320286393165588,0.8849999904632568,0.3249255418777466
5,0.921999990940094,0.19282574951648712,0.8762500286102295,0.42537936568260193
6,0.9399999976158142,0.2091350257396698,0.875,0.4399189352989197
7,0.9380000233650208,0.17931346595287323,0.8949999809265137,0.3857372999191284
8,0.9490000009536743,0.15195398032665253,0.8774999976158142,0.5067375302314758
9,0.953000009059906,0.1262824386358261,0.8374999761581421,0.7987242937088013
